trajectory_id,file_path,file_name,scene_id,task_name,resource_id,owner,region,created_at,manufacturer,equipment_model,equipment_sn,collected_at,collection_duration_in_ms,duration_in_ms,file_size_in_bytes,action_groups,state_groups,camera_names,arm_action_shape,arm_state_shape,effector_action_shape,effector_state_shape,arm_action_dim,arm_state_dim,effector_action_dim,effector_state_dim,hand_left_color_n,hand_left_depth_n,hand_right_color_n,hand_right_depth_n,head_color_n,head_depth_n,read_success,read_error
ff3cd4d8b3234a89bececbd6dd1eb0a4,./data/raw/ff3cd4d8b3234a89bececbd6dd1eb0a4.h5,ff3cd4d8b3234a89bececbd6dd1eb0a4.h5,S3,single_item_grasp,ff3cd4d8b3234a89bececbd6dd1eb0a4,Lejurobot,CHINA-SH-01,2025-11-16T18:23:28.261111+08:00,乐聚,KUAVO_4PRO_GRIPPER_DEXHAND,LJ-K4PRO-009,2025-07-26T09:38:16.496000+0800,6897,6606,63375312,"['arm', 'effector', 'head', 'leg']","['arm', 'effector', 'head', 'leg']","['hand_left', 'hand_right', 'head']","(2247, 14)","(3431, 14)","(686, 12)","(3414, 12)",14,14,12,12,206,206,206,206,206,206,True,
ffedcab981ba4f19b105c7ce20c346ba,./data/raw/ffedcab981ba4f19b105c7ce20c346ba.h5,ffedcab981ba4f19b105c7ce20c346ba.h5,S3,single_item_grasp,ffedcab981ba4f19b105c7ce20c346ba,Lejurobot,CHINA-SH-01,2025-11-16T18:23:13.957431+08:00,乐聚,KUAVO_4PRO_GRIPPER_DEXHAND,LJ-K4PRO-009,2025-07-26T09:35:30.291000+0800,15568,6497,58650960,"['arm', 'effector', 'head', 'leg']","['arm', 'effector', 'head', 'leg']","['hand_left', 'hand_right', 'head']","(2427, 14)","(3309, 14)","(662, 12)","(3308, 12)",14,14,12,12,198,198,199,199,199,198,True,
